,guid,title,pubDate,description
0,https://www.nytimes.com/2021/12/13/us/derek-chauvin-guilty-plea-federal.html,Derek Chauvin Appears Likely to Plead Guilty to Federal Crimes,"Mon, 13 Dec 2021 22:58:34 +0000","A change of plea hearing has been set for Mr. Chauvin, a former Minneapolis police officer who was found guilty of murdering George Floyd in April."
1,https://www.nytimes.com/2021/12/12/us/civilian-deaths-war-isis.html,Civilian Deaths Mounted as Secret Unit Pounded ISIS,"Sun, 12 Dec 2021 17:45:48 +0000",An American strike cell alarmed its partners as it raced to defeat the enemy.
2,https://www.nytimes.com/2021/12/13/us/kentucky-tornado-disaster-governor.html,"Kentucky Tornadoes Followed Flash Floods, Ice Storm and a Covid Spike","Tue, 14 Dec 2021 01:52:56 +0000","Even before the catastrophic storm claimed dozens of lives, a state and its governor have been repeatedly tested."
3,https://www.nytimes.com/2021/12/13/us/kentucky-tornado-victims.html,Jail Officer Who Led Others to Safety Is Among the 74 Killed in Tornadoes,"Tue, 14 Dec 2021 06:58:12 +0000","Families were mourning in several states after a swarm of tornadoes left a trail of destruction. “It’s almost crushing how it feels,” said Kentucky’s governor, Andy Beshear."
4,https://www.nytimes.com/2021/12/13/us/covid-deaths-elderly-americans.html,"As U.S. Covid Deaths Near 800,000, 1 of Every 100 Older Americans Has Perished","Tue, 14 Dec 2021 02:25:12 +0000","They are among the most vaccinated groups, but people 65 and older make up about three-quarters of the nation’s coronavirus death toll."
5,https://www.nytimes.com/2021/12/11/us/california-housing-bakersfield.html,"In Bakersfield, Many Find a California They Can Afford","Sat, 11 Dec 2021 19:00:09 +0000","Known for both oil and agriculture, the “Texas of California” rises in population as city dwellers seek backyards and shorter commutes."
6,https://www.nytimes.com/2021/12/11/us/mayfield-kentucky-tornado.html,"Tornado Batters Mayfield, Ky., but One Resident Says, 'We'll Be OK'","Sat, 11 Dec 2021 18:06:05 +0000","The people of Mayfield, a town of 10,000, surveyed the extensive tornado damage. Despite the devastation, one resident said, ‘We’ll be OK.’"
7,https://www.nytimes.com/2021/12/11/us/biden-deploys-federal-resources-to-devastated-areas.html,Biden deploys federal resources to devastated areas.,"Sat, 11 Dec 2021 19:34:48 +0000",President Biden said he was working with governors of the affected states as they search for survivors and assess the storm damage.
8,https://www.nytimes.com/2021/12/13/us/politics/israel-tankers-iran.html,Israel Finds Planes That Could Be Key to a Strike on Iran Badly Back-Ordered,"Tue, 14 Dec 2021 03:17:23 +0000","The United States told Israel it was unlikely to deliver refueling tankers before 2024, amid tensions between the two nations over how to deal with Iran’s nuclear program."
9,https://www.nytimes.com/2021/12/13/us/amtrak-chainsaws-employee.html,"Amtrak Worker Sold Railroad Equipment for Years to Line His Pockets, U.S. Says","Tue, 14 Dec 2021 01:54:29 +0000","Jose Rodriquez, 49, of Brick, N.J., pleaded guilty to mail fraud on Monday. Prosecutors said he obtained 114 chain saws for the railroad service, but sold them for profit."
10,https://www.nytimes.com/2021/12/13/us/kentucky-tornado-victims.html,Jail Officer Who Led Others to Safety Is Among the 74 Killed in Tornadoes,"Tue, 14 Dec 2021 06:58:12 +0000","Families were mourning in several states after a swarm of tornadoes left a trail of destruction. “It’s almost crushing how it feels,” said Kentucky’s governor, Andy Beshear."
11,https://www.nytimes.com/2021/12/13/us/politics/mark-meadows-contempt.html,Jan. 6 Committee Recommends Contempt Charge for Mark Meadows,"Tue, 14 Dec 2021 11:22:16 +0000","The panel sent a criminal contempt of Congress referral to the full House, as the extent of Mark Meadows’s role in President Donald J. Trump’s efforts to overturn the election became clearer."
12,https://www.nytimes.com/2021/12/13/us/massachusetts-free-covid-test.html,Massachusetts Joins Other States in Distributing Free At-Home Tests,"Tue, 14 Dec 2021 00:47:47 +0000",Massachusetts secured more than two million rapid at-home tests that would be delivered to 102 towns with high poverty rates.
13,https://www.nytimes.com/2021/12/13/us/politics/trump-subpoena-financial-records.html,Lawyers Clash Again Over Subpoena for Trump’s Financial Records,"Tue, 14 Dec 2021 00:07:18 +0000",The long-running case dates back to an early 2019 House Oversight Committee demand to see years of the then-president’s financial data.
14,https://www.nytimes.com/2021/12/13/us/kentucky-tornado-disaster-governor.html,"Kentucky Tornadoes Followed Flash Floods, Ice Storm and a Covid Spike","Tue, 14 Dec 2021 01:52:56 +0000","Even before the catastrophic storm claimed dozens of lives, a state and its governor have been repeatedly tested."
15,https://www.nytimes.com/2021/12/13/us/politics/manchin-social-policy-bill.html,Manchin Casts Doubt on Quick Vote on Biden’s Social Policy Bill,"Mon, 13 Dec 2021 23:49:56 +0000","The West Virginia Democrat said he still harbored serious concerns about the $2.2 trillion measure, potentially frustrating his party’s push to win Senate approval before Christmas."
16,https://www.nytimes.com/2021/12/13/us/south-dakota-teachers-dash-for-cash.html,Teachers Hit the Floor to Scoop Up Cash. Critics Give the Event an F.,"Tue, 14 Dec 2021 00:55:17 +0000","Ten teachers in South Dakota competed for $5,000 in dollar bills to spend on classroom improvements. Critics called the event at a hockey game in Sioux Falls demeaning."
17,https://www.nytimes.com/2021/12/13/us/coronavirus-briefing-what-happened-today-south-africa-omicron.html,Coronavirus Briefing: South Africa’s Omicron lessons,"Mon, 13 Dec 2021 22:49:04 +0000",And the death of the return-to-office date.
18,https://www.nytimes.com/2021/12/13/us/california-mask-mandate.html,California Is Reinstating an Indoor Mask Mandate,"Mon, 13 Dec 2021 22:52:15 +0000",The indoor mask mandate will go into effect on Wednesday and will remain until at least Jan. 15.
19,https://www.nytimes.com/2021/12/13/us/politics/supreme-court-vaccine-mandate-new-york-healthcare.html,Supreme Court Allows Vaccine Mandate for New York Health Care Workers,"Mon, 13 Dec 2021 23:26:01 +0000","Doctors and nurses challenged a state coronavirus vaccine requirement that had medical but not religious exemptions, saying it violated their right to free exercise of their faiths."
20,https://www.nytimes.com/2021/12/13/us/derek-chauvin-guilty-plea-federal.html,Derek Chauvin Appears Likely to Plead Guilty to Federal Crimes,"Mon, 13 Dec 2021 22:58:34 +0000","A change of plea hearing has been set for Mr. Chauvin, a former Minneapolis police officer who was found guilty of murdering George Floyd in April."
21,https://www.nytimes.com/2021/12/13/us/50-million-covid-cases.html,At Least 50 Million Total Coronavirus Cases Have Been Found in the U.S.,"Mon, 13 Dec 2021 20:36:30 +0000","It is almost certainly a substantial undercount, since many infected people have no symptoms or mistake them for those of another illness, and not everyone gets tested."
22,https://www.nytimes.com/2021/12/13/us/philadelphia-indoor-dining-mandate.html,Philadelphia Will Require Covid Vaccine Proof for Indoor Dining Starting Jan. 3.,"Mon, 13 Dec 2021 20:14:48 +0000","Proof of a recent negative test will also be accepted at first, to give people time to get vaccinated, the city said, but that option will end after two weeks."
23,https://www.nytimes.com/2021/12/13/us/us-coast-guard-woman-overboard-carnival-cruise.html,Coast Guard Suspends Search for Passenger Who Fell From Cruise Ship,"Mon, 13 Dec 2021 18:24:23 +0000","The U.S. Coast Guard said on Sunday that it halted its search for a woman who went overboard from a Carnival cruise ship near Ensenada, Mexico."
24,https://www.nytimes.com/video/us/100000008117393/kentucky-tornado-princeton.html,‘A Nightmare’: Kentucky Tornado Victims Sort Through Rubble,"Mon, 13 Dec 2021 19:21:04 +0000","Residents of Princeton, Ky., sifted through debris for salvageable items and cherished belongings after a tornado destroyed dozens of homes on Friday night."
25,https://www.nytimes.com/2021/12/13/us/politics/afghanistan-drone-strike.html,No U.S. Troops Will Be Punished for Deadly Kabul Drone Strike,"Tue, 14 Dec 2021 00:07:09 +0000","The military initially defended the strike, which killed 10 civilians including seven children, but ultimately called it a tragic mistake."
26,https://www.nytimes.com/2021/12/13/us/imperial-county-covid-vaccination-rate.html,The Mystery of Imperial County’s Vaccination Rate,"Mon, 13 Dec 2021 13:49:47 +0000",The southeastern pocket of California has one of the highest Covid-19 immunization rates in the state.
